Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/check/,3643,3643,240.0,324.3920600584768,25.83290000075067,1700.6971959999646,46.0,63.207319718000576,63.207319718000576,240,290,320,360,650,920,1100,1400,1700,1700,1700
,Aggregated,3643,3643,240.0,324.3920600584768,25.83290000075067,1700.6971959999646,46.0,63.207319718000576,63.207319718000576,240,290,320,360,650,920,1100,1400,1700,1700,1700
